ticket_number,message,tags
1064,"Hi @Jon OBryan - struggling with hyperlinks again Having slight issues with spacing my paragraphs too. Will try to record a Loom if it's helpful Hey Gurleen, Could you please send a loom if possible.  @Rahul Asati https://www.loom.com/share/2229cafb1f0c4ff88c180d947912a6ee?sid=7d594cac-3be9-4f2f-99c8-6d2eeb961ac1 don't think spacing is an issue, but showing the hyperlink one here @Gurleen Sohal This should be fixed now! you should be able to come out of a link by either pressing escape or by double spaces. @Rahul Asati thank you!!",Bug
1065,Hmm actually ticket navigation keyboard shortcuts aren’t working for me..,Bug
1066,"I’m interested in using the Chatbots feature for basic automation. How do Chatbots interplay with Tickets? Zach, Happy to help with the setup with Chatbot, do you want to jump on a call with me/Jon and we can setup it up in 30 mins. We can do it offline as well if you like. Zach, here a sample chatbot, basically you should able to build a workflow and then based on user response create a ticket Sorry for the delay. Yeah, I would like to do this. We are getting overwhelmed with support tickets since adding the widget and I need to declare support bankruptcy and start again with a bot… Grabbed some time with you tomorrow @Rahul Asati Great!",Feature Request
1068,"@Rahul Asati we found one more redirect which is broken and needs to be fixed. Please redirect the following URL:Broken URL -> https://support.mailmodo.com/support/solutions/articles/84000388126-why-do-click-map-data-differ-from-campaign-dashboard-Correct URL -> https://support.mailmodo.com/articles/759434-why-does-click-map-data-differ-from-campaign-dashboard @Alok Agrawal this is done! @Alok Agrawal Done! @Anchit Pandey Also, changes for 404 is now is production. You can enable this setting in https://app.atlas.so/configuration/helpcenter",Feature Request
1069,"A little thing that's quite annoying is that if I were to drag and drop a help centre article to another category, or if I were to update the url slug, all the tags would disappear hey @Mingqi Yin Taking a look — will get it resolved today Thank you Rahul! Oh and would ask me to publish article again assuming it's from the tags disappearing? Hey @Mingqi Yin I found and fixed the issue — changes should be live tonight. • Tags should not disappear when articles is moved• You shouldn’t be asked to republish on moving the article. Thank you Rahul!",Bug
1070,"esc isn’t working on my Mac in Chrome, but otherwise it’s working Can you try the same on https://app.atlas.so/inbox?query=all and see if you see the same issue there.Trying to understand if this Installation specific or Device specific When you open the widget the composer is focused, first we take focus off that and than it take you back to ticket list and then it closes the window I see - it just doesn’t work if I’m in this view Sure thing it works on this page @Rahul Asati even when I press esc twice @Eli Mernit once you push it prod, can you give me the url. Would be much easier to reproduce/fix the issue. I’m running this in our react app on localhost Can give me the url where you are seeing this issue — not able to reproduce this on my end. @Eli Mernit I can see the issue now! this is when you open the chat widget by a button it is not focused which is why esc does close the window. We should be able to fix this on our end. If the window is focuses, than esc works. @Eli Mernit first esc take you back and second closes it",Feature Request
1073,"Hi Atlas, I haven't been hearing ticket notifications for a couple weeks now. I keep Atlas open but I've been missing tickets when i don't go and check that window every 5 minutes @Ingrid Nuttle Let me check out what is going Hi @Ingrid NuttleUnfortunately, browsers block sounds from page before any action, so when the page is not visited for some time and auto-reloaded, the sound may not come upPlease try to explicitly allow sound for Atlas per this guide. Hope this helps Hi @Sasha Rakovets, thank you for the suggestion, but I checked and my notifications for Atlas are on, this just started happening a couple weeks ago, and it's across the board - not just me. @Sasha Rakovets Yes, I just tried as well.. no sounds are coming through. I am getting the notification alerts but no sound followed all the steps in the guide provided @Andrew_Nak Going to take further look and get back thx I'm getting notification sounds today! Thanks great! @Ingrid Nuttle @Andrew_Nak Could you try when you get a chance! here are couple more things to try if it is not work for you1. Click on reset permission on chrome (see screen shot) and re-enable permission 2. if you are using mac, there are few more things to try. In system settings > notifications, enable 3 options as in screenshot — lot of users reported that these settings fixed the sound issue (even though they were not sharing screen) 3. In settings > Sound > sound effect, make sure sound effect are play thought the correct sound output Let me know if these things still don’t fix the issue for you @Rahul Asati I'm sorry to say that it's stopped working again 😞 I got a couple notifications this morning but they stopped making sounds a few hours ago @Ingrid Nuttle Can you block sometime to debug together https://calendly.com/rahul-atlas/30min?month=2024-01 Most definitely, signed up for 2:30 tomorrow. See you then, thank you! Hey Ingrid! Wanted to circle back here -- wanna grab a time on my calendar?  @Ingrid Nuttle Actually can you book a call with @Jon OBryan instead? @Jon OBryan Hi Jon, just letting you know that I didn't get an invite from Calendly when I booked the meeting, so I'm don't have a link to jump in there with you. Notifications are working for me today, it seems to be on and off. @Ingrid Nuttle here is the link for the meeting with @Jon OBryan https://us06web.zoom.us/j/85340127874 @Rahul Asati Thanks!",Product Question
1074,Can you guys also improve searching for contacts? I'm looking up the exact name of a contact but they aren't even showing up in the list of results Another example of this:,Feature Request
1075,sometimes this banner will stay for a long time (>10 seconds) and I can't access functionality it is blocking I feel you on this one — working on this design.,Feature Request
1076,Hey all - Is there a way to change the setting — if I click “Compose” at the bottom of the main atlas inbox it automatically goes to create a chat ticket. Can we update this so that SMS is the standard instead? @Sephra Engel I think we can make it so that it pick the last value that you selected that way it will work for anyone that works for us! @Sephra Engel this is done! Amazing thank you! Appreciate your quick turn around !,Product Question
1077,"powered by? this is Atlas chat Is this powered by Interciom? or Zendesk? we have our own ticketing system Got it Kim, would you like a demo of our platform? if so, feel free to setup a demo call with our CEO Jon",Sales
1083,Do I have a filter on this view? Not sure why I can’t see the unassigned tickets I refreshed the page and they are showing up now,Product Question
1084,"Hey Lucian, how can we help you?",Sales
1085,"Hi team, the tags kept disappearing on the articles I haven't touched either... Could you look into it please? Mingqi, forgot to mention we are updating underlying way how tags are updated — this might take 1-2 days but it would be fixed for good once we do that thank you!!! @Mingqi Yin, could I ask a quick question about article tags: what would you like to use these for? (we’re considering removing them and using AI-driven search in the future using embeddings and question intent)",Bug
1086,Pls see below a screen record!,Bug
1087,Hey guys!Help me check what this empty chat means? @Gabriele Inacio I think these are getting created by API integration from Portao3 side. Can you add a developer here so we can talk with them cc @Alex Vyshniakov @Tiago Mendonca consegue me ajudar com isso aqui? Hey! Can you guys send me some example requests so I check here? Customer Id: cbedeaaa-e09f-4071-94d0-23c2737299c6Ticket Id: ba9b8cf0-3cf0-4660-9bfc-16dafb21c6b2 @Tiago Mendonca we have made a change in API so you won’t be able to create empty conversation anymore — will need at least one message.,Product Question
1089,"Good morning, everyone.In this ticket, I sent four attached files to the client, but he mentioned receiving only one. This has happened before, where I send multiple attachments, but only one arrives. Could you please investigate? The Atlas indicates that the file was delivered. Good morning, Carlos!Sure, looking into it @Carlos Antonio Garcia Leandro Junior it is indeed the case that WhatsApp only allows 1 attachment per message (and does not warn us about it 😔)Please send files in separate messages to WhatsApp customers while we’re looking how to resolve it from our end/cc @Gabriele Inacio Hello @Carlos Antonio Garcia Leandro JuniorWe had updated the WhatsApp channel to send attachments as separate messages to customers. Please try multiple files in the Composer now.If the order of attachments is important, you need to send them separately.Important note: the maximum file size allowed by WA is 5 megabytes. Ok, tks! I will try again and notify you. Hello everyone,Good morning. I just did a test here, tried sending 5 files via WhatsApp, and all of them were delivered successfully. Great! thank you for the confirmation",Product Question
1090,Why is this file not working when I click on it/try to download it? Seems like some sort of an auth issue. checking it out. @Rishi Talati here is correct urlhttps://atlas-prod-uploads.s3.amazonaws.com/aroYK2HQuWXfNvxQbosQ_Flara+Bakery-+ZIP+Codes+We will fix the issue in UI today Thank you both!!,Bug
1091,"@Rahul Asati tagged you in a support convo (not sure that works) but basically looks like either atlas has mis-tagged a user or the user's email signature is broken its fine here, these people are on the same team, but we rely on the person in chat that it's labelled with being the person that we are talking to. Would be good to understand the model here on your side @Adam Kaczmarek will take a look in next hour or so @adm @Adam Kaczmarek Just an updated here — we found and fixed the issue that was here, it was an Atlas issue not the user issue. A recent change caused the the incorrect customer to be shown when a customer who is CCied replied, we still showed the original customer instead of CCied one. gotcha figured it was along those lines thanks!",Bug
1092,"any way to view all un-tagged tickets? @Rishi Talati Not right now, but super easy to add to our search — will add it sooncc @Alex Vyshniakov @Rishi Talati You should be able to do this now!",Feature Request
1093,"want dark mode display facing extreme problems using white display during night hey Shivam, We have dark mode scheduled for end of this quarter, we will keep you updated. ",Feature Request
1094,"can I set reminders on tickets? the same way I can set reminders on slack messages i.e. 'remind me about this in 3 hours' *sends a slack / email in 3 hours* would be helpful for me :) sure thing, you can set it to snooze, it would unsnooze and remind you nice!",Product Question
1095,"Hey Atlas team! I was wondering if you have a Canny (popular feature request platform) integration on your mind? It would seem a great complement to Atlas. They have integrations already to tools like Intercom. https://canny.io/integrations Hey William, thanks for the feedback. We don't have a integration with Canny right now but I added it to our product roadmap.",Feature Request
1096,"Hi Is there a way to ""unsend"" or delete my sent messages on your platform? Let's say I'm answering the customer's question, but I made a mistake in spelling of some words and I wanna delete my message. Do you have that option at all? Hello? Hey Max,You can delete a ticket that you created, but you can undo/delete a message this is because a message is sent to a customer as soon as you hit send (via email/chat/whatsapp/slack/sms) and their is no way for us to undo those. Do you have a specific use case in mind here? ",Product Question
1097,"Guys, I need to integrate Atlas with any call tool, my usage is very low, but I need the calls to be registered in the ticket.Do you have any indication of the platform you have integration with?preferably something cheaper Hey @Marcos Dantas we integrate with dailpad and Aircall What tool are you using? none actually I will test the dialpad would you like to use the same number that you have for whatsapp for calling? if so, then will suggest aircall — since they allow something call SIP trunk (which allowed them to just use phone but keep the sms/whatsapp part on a different platform)",Product Question
1098,"just wanna say, I really like this product Thanks Eli! love the support!",Product Question
1101,"that seems like the one wrinkle stopping me from going hands free. @Zach Ocean there isn’t one — but this seem like a great idea. Will add it soon! @Zach Ocean also, if any other hotkeys come to mind, let us know!",Feature Request
1102,"Small issue: ordered/unordered list items don’t render in the chat widget. (there are no numbers or bullet points that show up). @Zach Ocean will take a look and get back cc @Stanislav Greetings, @Zach Ocean.Could you provide us with the ticket reference, such as an ID or link, for further investigation into your issue? Here’s a screenshot of the chat widget: https://app.atlas.so/chatbots/261b023d-cc3e-418b-bd69-b4b527ed797e here’s the chatbot config - you can see that the message is rendered as an ordered list in the chatbot message. You can test it on our site: uberduck.ai Thank you, this is very helpful. Hey Zach!This is fixed now. ",Bug
1103,"We'd like to use Atlas to give support to people using our Chrome Extension. This means we don't have a web page to host Atlas in. Can Atlas be opened as a stand-alone window? Like a pop-up? Hey Elliott, yes you should be able to get Atlas as a pop up widget on native site when a user clicks a button or take a action in the extension Sorry. I don't follow what you're saying. I'm saying that we're a chrome extension and need to be able to open Atlas on websites we don't own (for example, from a Google Docs page). We need a URL that we can open Atlas in in a new window. Does that option exists? yes, that is possible, here is a GIF of our chat widget on nytimes website by using a chrome extension that we use for demos Okay. So what are the instructions for me to do this for my company? you can find how to install Atlas and different option herehttps://cal.com/stanislav-atlas/30min?date=2024-01-29&month=2024-01"" target=""blank"" rel=""noopener""here You're asking me to schedule a call? That link doesn't even work. let me try to send again https://cal.com/stanislav-atlas/30min",Feature Request
1107,"Hello everyone, I noticed that whenever we need to use the ""merge ticket"" functionality, the first response time is completely unconfigured.Some examples:120245120270120142119619 @Gabriele Inacio Taking a look right now Rahul Asati can you give her an ETA on this (and maybe a heads up that we're fixing this). She's pinging me directly. @Gabriele Inacio We updated the report and will send a new version tonight which will contain the right data. @Gabriele Inacio Actually here is the latest report with the data fix",Feature Request
1109,"@Jon OBryan Hey can someone help me understand why email send is failing? https://app.atlas.so/customer-timeline/06a53ee5-4cfc-4a55-a1de-d46edf32b861?conversationId=31671e5e-1620-4e3b-842e-f06ae82b288b @Alex Vyshniakov + @Rahul Asati Sephra, we found and fixed the underlying issue here — changes for this should go live tonight! you rock Sephra, this change is live now -- let me know if you face this issue again!",Bug
1110,"I downloaded atlas and i need a pasword on the startup screen and i dont know what it is i tried my old pin and atlas none worked i need help is my pc broken? hey Karam, this is Atlas - customer support software company. Are you looking for any other event?",Sales
1111,"@Jon OBryan @Rahul Asati Sorry to be a pest today but seeing another issue with emails. The view on atlas is not applying line breaks that the customer originally sent the email with? First screenshot is the email from zendesk and second screenshot is the one from atlas. Ticket link: https://app.atlas.so/customer-timeline/e592449c-9f75-43ed-a1de-b5d8be4a7ac9?conversationId=32445152-d796-479c-8e6c-0bdeeb95a936Thanks! @Sephra Engel taking a look — this might take a day or 2 fix completly but going to start working on it now thanks rahul! @Sephra Engel this is an imported ticket right? I don’t think so — this was a ticket that happened mid day before I removed the zendesk forwarding we resolved on call Sephra, this has fixed. Let me know if this happens again! thank youuuu!",Bug
1112,"This file/video won't open or play for me Rishi, this is because chrome is not able to play 3GP videos if you download the file on your computer you should be able to play with a video player details about chrome not supporting 3gp videos: https://support.google.com/admanager/thread/7971209/3gpp-video-files-not-playing-in-chrome?hl=en#:~:text=No.,like%20Quick%20time%20player%2C%20etc.",Product Question
1113,"Hi @Piyush Raj, all the images in our support doc are breaking. Can you please look into this Urgently. Checking this would the the url - https://support.mailmodo.com/ - right? yes. For example: https://support.mailmodo.com/articles/823593-how-to-trigger-emails-in-mailmodo-through-hubspot @Piyush Raj any updates on this? Hi Kripa, we're in touch with Freshdesk right now on this issue to resolve it and exploring other possible avenues. We'll keep you updated as we find out more. In the interim and just so we're aware of all options, do you have any of the images used in the help center stored locally on your end (from the upload process)? Hi Jon, we don't have any local backup, I remember during migration discussion we raised this point of local caching, unfortunately we assumed it was done. While we dont have local backup, the helpcenter we were using it seems their links are working fine still, can you guys use this CSV to map images somehow for at least the articles mentioned I am have also raised a ticket with Freshdesk but yet to hear back @Anchit Pandey Thank! I spot checked the couple of images and they seem to be working. We are going to start bringing them back @Anchit Pandey this sheet only contains half the article — we are trying to bring the images from those — still trying to get to freshdesk @kripa shankar Singh Gaharwar @Anchit Pandey An updated on this• We are able to find and replace images for 123 articles in the sheet, this should be done in next • for 187 articles we are not able to find replacementWith respect to freshdesk1. We have contacted their support team and have a meeting with them at 2:30 PM IST 2. We also have used a investor to reach out Girish to escalate this Please let us know if you hear from them and if they need any information. @Rahul Asati thanks for the heads up, can we get the list of articles not updated, because in elev.io backup ideally there are 155 articles we will try to find remaining 32 articles to map from those 155 articles @Anchit Pandey here is list of all articleshere is list of all article with old and new images https://docs.google.com/spreadsheets/d/1IVKF319HDNiQyuQS2b7ohytZdipEAu4wwecOb68_qAo/edit?usp=sharing • if new images column is empty that means atlas has no images• if new images column has value but Older Urls value is either empty or Not found it means we didn’t find any images in the CSV data Also, we have now reached out to one more PM at Freshdesk to see if he can help — A corp dev person and PM now both have escalated the issue. Hopefully they can either revert the changes or give us a backup of images. @Anchit Pandey got a response from PM at freshdesk @Rahul Asati I got this update last night but haven't heard anything back after that We have a call with them at 2:30 PM IST @Sasha Rakovets could you please add @Anchit Pandey to the call It was a brief call with the support agent. The summary:1. He confirmed that they cannot re-activate the account – “it had been purged from database”2. They are looking into how to restore the images, had not confirmed or denied the possibility     a. his main question for the call was “do you have a list of image URLs” – which we do. This makes sense if they don’t create a bucket per account, and it is shared between multiple accounts     b. I did not understand why that ^ question had been masquerading under “tell us more about how you did the migration”3. Again promised to update the ticket via email, once he has more info @Rahul Asati @Sasha Rakovets we didnt have any luck with Freshdesk team they said they will reactivate but they are moving really slow on this. However, want to check if you guys had any luck or found some solution to this I have added 12 more links to fetch images of articles from, also flagged 25 articles which are fine and not impacted . Total affected articles count once these changes are done will be 157 Hi @Anchit Pandey, we had a similar experience. We’ve got a contact who knows the CEO at Freshdesk that we’re trying to work — hoping that they can help us resolve this quickly.In the interim, to minimize the downtime here, we can use folks on our team to help recreate missing assets immediately with a goal of completing this by Monday. To do that, we will need help from someone on your side to go through and confirm the content of missing assets.We think this could be done in a call where we sit down with perhaps yourself and/or Kripa and review the list of missing assets and the associated articles and give a brief description of each asset missing and then we can recreate these and share them with you for approval.When you’ve got a few minutes to hop on a call, it’d be great to sync on this so that we can get this resolved ASAP. Google seems to have low-res versions of a lot of the missing images that we can use as reference so that it’s easier to recreate these images as well. Working this route right now 👆 @Jon OBryan for a very critical article that are required by onboarding I was adding images manually and was almost done but suddenly an error came and when I refreshed my screen everything vanished 😞 Do you guys have the last saved version wherein I actually uploaded all images? if so kindly restore it to that @Anchit Pandey checking Anchit, I reverted to the previous version. Can you refresh the page @Jon OBryan @Rahul Asati I see images being populated in old articles from cache, some relief. Please do share updated list after this exercise so that we have estimate as to what is pending. Also, yes we can definitely connect tomorrow, please share available slots and I will have either me or Kirpa join based on our availability to assist your team. Thanks again for being on top of this, there is great learning for all us here. @Anchit Pandey, do you have time tomorrow morning your time anytime from 9a-11a? would love to give you an update of our plan and ask you some questions then as well. @Anchit Pandey, any chance you have a mailmodo sandbox account we can use that has access to all the features in the help center so we can recreate everything? Sure please share an ID I can extend access of the account could you share with mailto:jon+mailmodo@atlas.so? 🙏 Hi Jon, I have shared the invite @Vipin Dixit please book a meeting based on your availability in 8pm-11pm slot @Anchit Pandey I am available between 8pm - 11pm anytime. Hi @Vipin Dixit! Sending an invite to you for 10p-11p IST. Thank you so much for your availability! @Vipin Dixit, in this spreadsheet, (Current Article tab), we’ve marked all of the images for each article [in the order that they appear in each article] as green or red.Green means we have a low resolution version of the image that we can use to reproduce it and shouldn’t need to discuss it.Red means we don’t have any image guidance, so we’ll have to use the text available in the article to figure out how to create this. Any guidance you can give us on these images would be super helpful! Hi Jon,Received the invite, will have a look at the spreadsheet and discuss during the call. Can't see images in the below article - https://support.mailmodo.com/articles/790071-how-to-create-a-shopify-product-recommendation-campaign Hi @Jon OBryan ,As we discussed during the call on Saturday, are you guys updating the images?Please let me know how many articles are updated from your end and share a few article names so that I can cross check and see if everything’s fine or need any corrections. @Vipin Dixit, definitely — you can see them as we update here (see the “restored?” column). We should have the most visited articles restored by the end of today. Hi @Jon OBryan, I can't see anything updated here in last two days.Can you please share the article name, which you updated. @Rahul Asati I have noticed that elevo.io image URL in code of some articles which means images are hyperlinked not cached on your server which may create a problem if elevo.io see traffic and decide to delete those images as it's been more than a year since we moved from that platform Anchit, We are backfilling all images which are not hosted on our CDN this weekend -- we just fixed all the way one can add a image in product from external source to make sure it first get uploaded to our CDN.  Hi Anchit and Vipin, we've made good progress on this through the weekend and should have everything completely rectified this week. We've also been able to update several images that were present but not up-to-date with the your current product since we're going through all articles and images anyway. Hi @Jon OBryan I see total 28 articles are updated from your end till now. Around 40 articles are left other than that we have updated all of them. Please update the status on the sheet if you are updating the articles.",Bug
1114,"Hello guys, good morning. How you doing?Guys, I noticed that Atlas is changing the sender's name in the emails. In my email, it shows that it was sent by Raiana, but in Atlas, the same message appears as if it was sent by Fernanda. Could you please correct this? Good morning, Marcos!All good, thanks. How about you? We’ll investigate what happened here Can you please screenshot the recipients from Raiana’s message in GMail? @Marcos Telles just bumping this: any chance you could share the list of recipients from the Gmail message? yes, sorry. Just give me a moment 👍:skin-tone-2: @Marcos Telles Could you please view original content for that email and copy paste it here as text. Here it is Thanks. Would be helpful if you could send it as text. Click that big blue button and paste here, slack will ask to create a snippet for long text - proceed with that. I’ve identified the problem. We fixed the root cause several days ago, Conversations created between Jan 16 and Jan 26 may still experience this bug. I will try to fix your data. Sorry for inconvenience. @Marcos Telles I’ve fixed your existing conversations which could potentially be affected by the bug thanks a lot",Bug
1151,"Hello Guys,Once again, we are experiencing issues with the delivery of our emails via Atlas. The system is not sending correctly. When the recipient receives our response to an email, a parallel email is arriving for them, as shown in the images below. This should not happen. Emails should arrive in the same thread with the entire email history. It is going without the previous email history, which hinders our communication with clients and suppliers. hey @Marcos Telles By parallel email do you mean if I as a customer I send a email and when agent responds to that email, Customer is getting that a new email instead of it being threaded to original email that customer sent? Yes that's it. Here's an example",Bug
1152,"@Jon OBryan @Rahul Asati Odd situation — I’m concerned that the HS integration isn’t accurate.Aster contacted an owner in atlas via SMS. She started a new ticket and we do have the contact in Hubspot but then the phone number associated with the contact in atlas is different than the one in Hubspot. Why might this be?Bigger issue is that the text she sent failed — assuming this is because the number in atlas is incorrect? when she tries to update the phone number in atlas she gets a Server Error message.We’re not sure how to proceed here.Atlas ticket linkScreenshot of contact in HS and Atlas contact w/server error(last 4 digits of the number are different) @Piyush Raj can you please take a look @Piyush Raj @Rahul Asati found another issue I believe is related. the phone number associated with the contact when creating a new ticket is the company number and not the contact’s phone number. Help please.This is really problematic because it means that my team will be attempting to text restaurant phone lines which do not have SMS rather than owners when searching for the user. @Jon OBryan thanks rahul - do you want me to keep posting oddities we find?We found another one where atlas has added a phone number to a contact but HS does not have the phone number associated @Sephra Engel, from the peanut gallery: looks like both numbers are valid for gerry’s italian kitchen.did we also setup data to come in from any other sources (eg, SDK or API call)? Hi @Sephra EngelIssue#1There are two Suhail Oweis profiles in Atlashttps://app.atlas.so/customer-timeline/8762e657-0afd-4b12-b041-2a88dd5f34d7https://app.atlas.so/customer-timeline/49bb543c-c119-47ee-b32e-45de665d72bcThis is because, one account was created from Hubspot. Other must be created either by an identify call or segment integration (I am not sure if you one or both).There reason they are two account instead of one is, while they have the same name key identifer (user_id, phone, email) is different on both on them, which is why Atlas is not able to match the record and create a single a record.How to fix this so this doesn’t happen: Right now I don’t see the user_id being present in Hubspot, if you can send that to hubspot, there record will match properlyIssue#2There are three Sha Toh in Atlashttps://app.atlas.so/customer-timeline/35f292e0-60f9-4059-849f-02ef2c4c4024https://app.atlas.so/customer-timeline/4950e4bb-9c37-4892-ba34-3e15befc4971https://app.atlas.so/customer-timeline/83312852-12d9-4960-a036-0c23f5991e42One was created when we migrated data from Zendesk, other came from hubspot and third came from (identify call or segment). This also had the same issue, for account to auto link to correct account, we need to have some matching identifierIssue#3We got this number from hubspot -- but when it was set to empty in hubspot, we didn’t reset it in Atlas. I am checking what is the best way to handle this. The reason we don’t reset the data in Atlas is because data could be coming from multiple sources and we don’t want to remove the data in case one source has empty data source. If you want I am happy to setup a call with someone in your engineering team so they can required actions Oh lordie. Thanks Rahul I appreciate the investigation!! I didn’t realize we were pulling contacts from so many places. Let me review and see what we can do. I think realistically we remove the identify call or segment all together right now because our systems aren’t synced well on our end. @Rahul Asati What needs to be done to stop the segment/identify call data collect? I also want to remove all of the contact info pulled from Zendesk. Is that doable?Basically I want only Hubspot info imported as a source of truth Do you offer chat support or use Session recording at all? chat support yes session recording nooope If you want to identify users from chat (so you know who is chatting in Atlas, we can remove identify call issue here is that two different system (product and hubspot) contain a different in data and both are syncing to Atlas they can end up creating duplicate or overwriting data.",Product Question
1153,"Hey @Jon OBryan - Hope you and your team had a great holiday. QQ - How do I filter session recordings to see the ones where users are actually doing something? I've got hours of session recordings where the user stays on one screen. Hey @Devin, there is skip inactivity button that is supposed to skip over the period where user is not doing anything. Does that not work properly.Also, the next and previous button will allow you to quickly move when user is changing pages I think the skip inactivity button has a bug when there is no activity at all in the entire session, it does not seem to skip.Second, it'd be convenient to highlight sessions where there is obvious activity. Its more a reflection on our product that we have a number of sessions where the user isn't doing anything, but it would be helpful to me to be able to find the key sessions where the user is doing something so I can figure out when they hit a dead end or what have you @Devin Would something like this be better when you hover over session list you will summary details of a session like how many network call, list of page visits etc so you can have a quite idea on what that session contains Hmmm, that is the right direction but I think my problem is even more basic/simple than that To me I just want to know whether I am going to watch my user move around, or if by clicking on this session I'm going to watching them sit still Maybe our instrumentation of Atlas is wrong? Like this session is just the user on this screen for 10 minutes, it captures whatever they're doing immediately after they made their search Devin, let me go and check if something odd is happening with your instance",Bug
1154,"Hello hey Toni, how can we help you?",Sales
1155,@Rahul Asati sorry for so many questions. I promise it’ll get better! lolI’m trying to archive some users and when I try I get the “something went wrong” error — example would be “Hank T” and “Tim Z” oh jeez sorry so many hahah nah no worries i can do it later once fixed 🙂 i wasnt paying attention and just kept going. Thanks for looking into it! not urgent whatsoever @Sephra Engel Please keep them coming — any issues we fix makes platform better for everyone I was just looking into the error (we get notified we something went wrong” error comes for users I can do all in one go Do you want to archive anyone else other than “Hank T” and “Tim Z” for which system is not working? (going to fix the root cause as well but fix will be only tonight) I am going to take a look at this and fix it soon,Bug
1159,"@Rahul Asati Hey - I pasted a table into the email I sent here and it was sent to the customer in a really bad format. https://app.atlas.so/customer-timeline/a2aec7d8-91b9-4dcd-be37-3faa97202fc2?conversationId=777bdb05-58f2-42db-9cc2-5373eda010eaCan you make sure tables are configured properly?It should look very similar to the table that the customer sent me in their original email @Sephra Engel We will have it fixed soon! Sephra, we have fixed this issue now. This should not happen anymore. thanks!",Bug
1160,"Is there a way to specify the reply-to email back to our custom email? hey Johnny, yes we have this feature in beta right now. Let me enable it for account in a min try on a new ticket now — Reply should be set to you own custom domain Ooh gotcha! Trying it now :) Also curious if there's a way to remove the subject line Request Number. I'm trying to emulate the feeling of normal plain text email Johnny, that’s only for non-email tickets — for email ticket it will subject that customer set.For email body, you can set the format in https://app.atlas.so/configuration/email ah gotcha",Product Question
1161,"@Rahul Asati there is a bug in your documentation tool. Every time I update the category name, the URL is adding the guid Hey Alok, this is fixed now. ",Bug
1162,"Which is it: https://cln.sh/bZG6NnWv (see https://app.atlas.so/configuration/installation)Or this: https://cln.sh/vZZsBLMJ (see https://help.atlas.so/articles/620722-user-authentication) Also, I believe I’ve correctly authenticated users, but it’s still not recognizing them as authenticated users, just as visitors. See:https://cln.sh/Hr4KYykphttps://cln.sh/PWXYjfR5 I console.logged all values, they’re all provided, and the userHash is correctly returned too. Btw your design is terrible once links are involved. This is what I see: https://cln.sh/lYPJXbSV",Feature Request
1163,"@Jon OBryan @Rahul Asati Non urgent - Heads up, Linear integration anytime we add a new “team” to linear, it gets auto added to the Specific Teams that atlas gives access to. This prob shouldn’t be. Example — we added a “design” team in linear and it started showing as an option in atlas Sephra, this is fixed now. ",Bug
1164,"@Rahul Asati Hey - I’ve set the filter for an inbox to be by user & status open, pending, snoozed yet the inbox continues to show closed tickets and tickets not assigned to Gerson. Why is this? I created a new inbox again with the same parameters and the new one is fine. Super weird. @Sephra Engel, you may need to refresh ? @Jon OBryan refreshed an still the same — i added you as a user that can see the inbox if you want to take a look https://app.atlas.so/inbox?query=8eb3d117-99ea-4c4f-8969-b85e708ade59 checking now @Rahul Asati another inbox oddity - screenshot 1 shows a filter that should be all tickets assigned to Aster and yet when go to ’All” tickets, there are tickets in there assigned to aster that do not show in the inbox I made. Why is this? @Sephra Engel Click on “any filters” and it will do the trick “any filters” = any of conditions matches“all filters” = all conditions match Thanks! Super helpful. Totally missed that, sorry! I do want to note that this fixed the first inbox issue but doesn’t fix the second one regarding aster’s tickets. we will investigate today. Something odd happened there. Would be helpful if you could remember how you changed assignee for tickets 23462 and 23465 Thanks alex! these are all tickets that were imported so we haven’t made any changes to them in atlas ah, that must be the cause. I will reindex your tickets today @Sephra Engel Sorry for delay. The issue is fixed @Alex Vyshniakov thanks for working on this — took a look and I still see 2 tickets assigned to Rory that are not showing anywhere else other than All. Customers are Sharon Kim and Yaowaluck Pongsmart. Do you mind taking a look at these? @Sephra Engel Could you please clarify where you are not able to see them? They are searchable by assigned agent ope nvm all good here. sorry! filter was weird on my end",Bug
1166,"Ah super strange — looking into it now, thanks for the heads up @Mingqi Yin! Will let you know when get this resolved No worries!! Thank you!! Hey Mingqi, we were able to reproduce this issue on our side but we made a fix for possible cause of it, if you see if again please let us know.  thanks very much Rahul!",Bug
